megawatthours,Fuel MMBtus
99,2743
1764,34839
7019,119543
10664,170783
12294,188688
16346,231046
28223,372420
33280,458958
12217,177963
3483,53913
3540,57191
2291,43537
2514,45843
6270,93137
7315,106952
18220,246746
7328,109518
31795,420553
69777,935506
34356,466645
26225,340597
6234,91914
7820,105518
1915,44063
10017,178757
-645,0
1568,34506
--,--
2550,48725
-674,0
2944,51033
10039,129207
-856,0
-777,0
1582,27714
1018,29374
3009,64574
1665,37798
1915,28907
7711,103920
5121,78929
6996,95450
1093,22117
2339,49232
0,0
622,15256
0,0
190,1924
15044,189269
54,10673
-103,9813
14092,209302
78163,953730
137496,1568860
31621,393713
36892,454311
45200,526487
16371,195598
30479,348670
42017,485772
3807,61042
8250,123866
15080,204472
935,10133
29440,394096
57477,740886
117979,1432920
93171,1132155
2579,44667
410,4283
1044,10705
1208,27673
0,6747
11568,159383
773,14670
16487,211158
12152,160182
9600,126210
3405,53440
86858,1107155
23977,301598
13766,188880
3570,60506
10271,129959
13483,179523
9140,130742
4827,77383
-532,6076
89,18682
8451,120775
8979,123545
9960,126140
2977,44988
-428,554
4359,64151
3734,48553
23584,312172
18418,231587
7000,98641
4635,66755
-665,4963
4781,81195
0,117557
3736,67255
10280,139190
452,16665
-748,5163
2956,52472
16117,231234
1458,39752
-687,5419
4001,64172
6754,104142
14593,224780
17138,240914
30050,394266
12225,167479
2206,39122
2641,47972
20837,305258
2656,49112
3201,72345
482,28069
1526,30782
8693,130271
10617,149183
26583,356177
15169,207242
2091,40227
2877,80751
-111,15002
-957,1121
3795,61651
-319,9244
9420,121422
31606,374959
65958,761005
16741,209001
63943,749070
29454,373388
13715,175559
6663,96606
2039,37907
4321,64138
10736,150971
30,14894
4345,70320
11470,156510
6155,85303
3909,61026
30543,383810
8451,114530
8801,113305
10692,135827
7472,102654
4034,69755
118231,1635175
61886,705416
63150,742901
80460,957472
14378,185140
20524,251627
31679,381384
23092,286662
9068,120206
7625,99377
48209,655382
26403,337454
56996,696623
132877,1588798
108795,1182798
153584,1737587
67706,878143
60636,764525
25331,340913
30845,399250
25378,327034
41821,524064
88387,1076132
2740,45314
64765,820407
27636,363216
99164,1234762
47198,588626
22491,295134
81240,1037282
62777,808123
33532,431681
21104,270103
35456,439858
14952,194225
7563,114221
32903,422223
15268,194720
11675,155283
31174,378361
8512,125027
16318,217112
31240,405333
14444,194547
9441,127918
14497,185123
25730,319965
11948,162063
121900,1433898
5178,67907
52211,572573
76556,817749
37889,627278
26309,350147
32223,407487
23976,311627
26721,344761
27662,356335
37412,483494
20569,248674
59047,696201
1670,27633
23831,271525
24159,320911
22011,289684
15377,189984
43489,516343
45354,529037
37200,438637
65404,738101
96738,1082454
20816,234916
6929,89814
17256,207122
23197,271294
3066,46979
6935,87414
12935,161177
57074,696494
19616,232554
5904,76866
31165,339952
3389,56389
4538,73216
1978,36174
5519,91364
10994,146386
7760,112174
6045,77504
18241,224313
23460,284018
23087,288720
7958,105603
9165,114872
30166,373512
19578,219412
64138,715074
4591,66627
4683,65721
3872,56136
27068,323114
129169,1476402
79147,930457
13637,202991
8584,114906
9190,122289
2377,35801
24844,313931
-1026,534
3170,47920
5063,71776
4615,63571
3731,56735
9379,122393
10735,140452
